id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
488,61316.jpg,Joselu,4,a,61316,Jose Luis,Mato Sanmartín,21,"",55,,,0.5,4.4,0,0,0,0,false,0,1.2,2.8,63561,110149,26,11,0,0,0,0,24,0,3.0,2.3,2.8,false,556,2,0,3,4,0,0,0,2,0,0,3,67,112.0,112.4,277.0,49.8,0,4,13
489,200641.jpg,Nelson,3,a,200641,Reiss,Nelson,61,"",49,,,0.0,0.0,-1,0,1,0,false,0,0.0,0.0,2256,951,0,1,0,0,0,0,0,0,0.0,1.0,-0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1
490,66242.jpg,Pröpper,36,a,66242,Davy,Pröpper,24,"",54,100,100,0.5,4.4,-1,0,1,0,false,0,0.1,2.5,8194,5438,0,1,0,0,0,0,24,0,2.7,2.0,2.5,false,810,0,1,3,10,0,0,0,1,0,0,1,130,148.0,58.9,66.0,27.4,0,3,3
491,218112.jpg,Lokilo,31,a,218112,Jason,Lokilo,28,"",44,,,0.0,0.0,-1,0,1,0,false,0,0.2,0.0,12049,12628,1,1,0,0,0,0,0,0,0.0,0.0,-1.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,6
492,209244.jpg,Foden,43,a,209244,Phil,Foden,47,"",48,,,0.0,0.0,-2,0,2,0,false,0,0.0,0.0,1880,404,1,1,0,0,0,0,0,0,0.0,1.5,0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,11
493,216183.jpg,Diaz,43,a,216183,Brahim,Diaz,55,"",48,,,0.0,0.0,-2,0,2,0,false,0,0.0,0.0,3051,801,0,0,0,0,0,0,0,0,0.0,1.5,0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,11
494,149736.jpg,Mbemba,4,a,149736,Chancel,Mbemba,18,"",40,100,100,0.0,3.8,0,0,0,0,false,1,13.3,0.0,298502,790971,106,48,0,0,0,0,15,0,3.0,-0.5,0.0,false,408,0,0,1,5,0,0,0,0,0,0,3,81,98.8,43.1,4.0,14.6,0,2,13
495,195384.jpg,Merino,4,a,195384,Mikel,Merino,23,"",50,,,0.6,4.6,0,0,0,0,false,0,0.2,3.0,4903,12632,3,12,0,0,0,0,23,0,2.6,2.5,3.0,false,598,1,0,2,5,0,0,0,2,0,0,3,140,181.4,84.5,57.0,32.3,0,3,13
496,153127.jpg,Hayden,4,a,153127,Isaac,Hayden,14,"",45,,,0.4,4.2,0,0,0,0,false,0,0.4,2.0,13280,21041,4,6,0,0,0,0,19,0,2.1,1.5,2.0,false,610,1,0,2,7,0,0,0,4,0,0,0,77,130.0,83.5,47.0,26.0,0,3,13
497,42564.jpg,Choupo-Moting,110,a,42564,Eric Maxim,Choupo-Moting,10,"",57,100,100,0.5,6.5,2,0,-2,0,false,1,6.3,3.0,210052,495303,65,47,0,0,0,0,37,0,4.1,3.0,2.5,false,738,2,2,1,19,0,0,0,0,0,0,3,88,147.8,107.8,408.0,66.3,0,3,15
498,158534.jpg,Walker-Peters,6,a,158534,Kyle,Walker-Peters,37,"",42,,,0.1,1.7,-3,0,3,0,false,0,1.0,0.3,99761,90594,18,8,0,0,0,0,7,0,3.5,0.3,1.3,false,98,0,0,1,0,0,0,0,0,0,0,0,33,18.6,21.0,4.0,4.4,0,2,17
499,133801.jpg,Sinclair,57,a,133801,Jerome,Sinclair,17,"",49,,,0.0,0.0,-1,0,1,0,false,0,0.2,0.0,7230,5384,3,1,0,0,0,0,0,0,0.0,0.0,-0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,18
500,151086.jpg,Lemina,20,i,151086,Mario,Lemina,18,Ankle injury - Expected back 04 Nov,50,0,0,0.4,3.4,0,0,0,0,false,0,0.3,1.8,17054,20101,34,0,0,0,0,0,17,0,2.4,0.0,0.0,false,572,0,0,3,6,0,0,0,0,0,0,0,127,121.4,81.6,48.0,25.2,0,3,14
501,212319.jpg,Richarlison,57,a,212319,Richarlison,de Andrade,11,"",64,,,0.8,7.8,4,0,-4,0,false,2,16.3,5.0,243215,1020732,59,546,0,0,0,0,50,0,5.6,5.0,4.5,false,750,3,4,3,16,0,0,0,1,0,0,4,138,205.4,153.4,403.0,76.1,0,3,18
502,57112.jpg,Mangala,43,a,57112,Eliaquim,Mangala,15,"",50,,,0.0,0.2,0,0,0,0,false,0,0.1,0.0,3739,3197,2,1,0,0,0,0,1,0,1.0,1.5,0.5,false,19,0,0,0,0,0,0,0,0,0,0,0,3,5.0,0.2,0.0,0.5,0,2,11
503,194794.jpg,Tomori,8,u,194794,Fikayo,Tomori,31,Season-long loan to Hull,45,0,0,0.0,0.0,0,0,0,0,false,0,0.0,0.0,601,328,0,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5
504,181911.jpg,Scott,8,a,181911,Kyle,Scott,36,"",44,,,0.0,0.0,-1,0,1,0,false,0,0.1,0.0,3207,3835,2,2,0,0,0,0,0,0,0.0,1.5,0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,5
505,94926.jpg,Ladapo,31,a,94926,Olayinka Fredrick Oladotun,Ladapo,19,"",45,,,0.1,0.2,0,0,0,0,false,0,2.0,0.3,60887,143012,37,44,0,0,0,0,1,0,1.0,0.3,-0.7,false,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,1.1,0.0,0.2,0,4,6
506,3201.jpg,Taylor,20,a,3201,Stuart,Taylor,28,"",40,,,0.0,0.0,0,0,0,0,false,0,0.4,0.0,5910,12147,1,1,0,0,0,0,0,0,0.0,0.5,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,14
507,232427.jpg,Harper,35,u,232427,Rekeem,Harper,34,Season-long loan to Blackburn Rovers ,45,0,0,0.0,0.2,0,0,0,0,false,0,0.0,0.0,1881,1315,0,0,0,0,0,0,1,0,1.0,0.0,0.0,false,20,0,0,0,0,0,0,0,0,0,0,0,6,6.6,20.4,0.0,2.7,0,3,19
508,215457.jpg,Wilson,35,u,215457,Kane,Wilson,49,Joined Exeter in season-long loan deal,40,0,0,0.0,0.0,0,0,0,0,false,0,0.3,0.0,15944,14950,4,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,19
509,135365.jpg,Boga,8,u,135365,Jeremie,Boga,38,Season-long loan to Birmingham,60,0,0,0.0,0.2,0,0,0,0,false,0,0.0,0.0,882,515,1,0,0,0,0,0,1,0,1.0,0.0,0.0,false,17,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,3,5
510,204480.jpg,Rice,21,a,204480,Declan,Rice,41,"",44,,,0.0,0.7,-1,0,1,0,false,0,0.0,0.0,1222,1405,0,0,0,0,0,0,3,0,0.8,0.0,-1.0,false,150,0,0,0,5,0,0,0,0,0,0,0,25,25.4,2.4,0.0,2.8,0,2,20
511,168763.jpg,Carter-Vickers,6,u,168763,Cameron,Carter-Vickers,38,Season-long loan to Sheffield United,45,0,0,0.0,0.0,0,0,0,0,false,0,0.0,0.0,620,339,0,0,0,0,0,0,0,0,0.0,0.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,17
512,93127.jpg,Jesé,110,a,93127,Jesé,Rodríguez Ruiz,11,"",58,100,100,0.3,4.1,-2,0,2,0,false,1,4.5,1.5,453093,573879,83,5,0,0,0,0,24,0,3.4,1.5,1.0,false,450,1,1,1,11,0,0,0,0,0,0,2,70,92.4,98.4,116.0,30.7,0,3,15
513,85352.jpg,Martins Indi,110,i,85352,Bruno,Martins Indi,15,Knock - Expected back 28 Oct,49,0,0,-0.1,0.8,-1,0,1,0,false,0,0.0,-0.3,1586,1301,0,0,0,0,0,0,4,0,0.7,0.0,0.0,false,346,0,0,0,11,0,0,0,0,0,0,0,61,66.6,47.0,9.0,12.3,0,2,15
